ID,College,Address,City,State,Zip Code,Telephone,website
1,Borough Of Manhattan Community College,199 Chambers Street,New York,NY,10007,(212) 220-1265,https://www.bmcc.cuny.edu/
2,Bronx Community College,2155 University Avenue,Bronx,NY,10453,(718) 289-5100,http://www.bcc.cuny.edu/
3,Guttman Community College,50 West 40th Street,New York,NY,10018,(646) 313-8010,http://guttman.cuny.edu/
4,Hostos Community College,500 Grand Concourse,Bronx,NY,10451,(718) 518-4444,http://www.hostos.cuny.edu/
5,Kingsborough Community College,2001 Oriental Boulevard,Brooklyn,NY,11235,(718) 368-4600,https://www.kbcc.cuny.edu/Pages/default.aspx
6,LaGuardia Community College,31-10 Thomson Avenue,Queens,NY,11101,(718) 482-5000,https://www.laguardia.edu/
7,Queensborough Community College,222-05 56th Avenue,Queens,NY,11364,(718) 631-6262,http://www.qcc.cuny.edu/
8,Baruch College,One Bernard Baruch Way,New York,NY,10010,(646) 312-1000,https://www.baruch.cuny.edu/
9,Brooklyn College,2900 Bedford Avenue,Brooklyn,NY,11210,(718) 951-5001,http://www.brooklyn.cuny.edu/
10,College of Staten Island,2800 Victory Boulevard,Staten Island,NY,10314,(718) 982-2010,https://www.csi.cuny.edu/
11,Hunter College,695 Park Avenue,New York,NY,10021,(212) 772-4490,https://hunter.cuny.edu/
12,John Jay College Of Criminal Justice,445 West 59th Street,New York,NY,10019,(212) 237-8866,http://www.jjay.cuny.edu/
13,Lehman College,250 Bedford Park Boulevard West,Bronx,NY,10468,(718) 960-8000,https://www.lehman.cuny.edu/
14,Medgar Evers College,1650 Bedford Avenue,Brooklyn,NY,11225,(718) 270-6024,http://www.mec.cuny.edu/
15,New York City College Of Technology,300 Jay Street,Brooklyn,NY,11375,(718) 260-5000,http://www.citytech.cuny.edu/
16,Queens College,65-30 Kissena Boulevard,Queens,NY,11367,(718) 997-5000,https://www.qc.cuny.edu/
17,The City College Of New York,160 Convent Avenue,New York,NY,10031,(212) 650-6448,https://www.ccny.cuny.edu/
18,York College,94-20 Guy R. Brewer Boulevard,Queens,NY,11451,(718) 262-2165,https://www.york.cuny.edu/
19,Craig Newmark Graduate School Of Journalism At CUNY,219 West 40th Street,New York,NY,10018,(646) 758-7700,https://www.journalism.cuny.edu/
20,CUNY Graduate Center,365 Fifth Avenue,New York,NY,10016,(212) 817-7000,https://www.gc.cuny.edu/Home
21,CUNY Graduate School Of Public Health And Health Policy,55 W 125th Street,New York,NY,10027,(646) 364-9600,https://sph.cuny.edu/
22,CUNY School Of Labor And Urban Studies,25 West 43rd Street,New York,NY,10036,(212) 827-0200,https://slu.cuny.edu/
23,CUNY School Of Law,2 Court Square,Queens,NY,11101,(718) 340-4210,https://www.law.cuny.edu/
24,CUNY School Of Professional Studies,119 West 31st Street,New York,NY,10001,(212) 652-2869,https://sps.cuny.edu/
25,Macaulay Honors College,35 West 67th Street,New York,NY,10023,(212) 729-2900,https://macaulay.cuny.edu/
