100 Most Significant Americans of All Time (2014),,
1,Christopher Columbus,Trailblazer
2,Henry Hudson,Trailblazer
3,Amerigo Vespucci,Trailblazer
4,John Smith,Trailblazer
5,Giovanni da Verrazzano,Trailblazer
6,John Muir,Trailblazer
7,Meriwether Lewis and William Clark,Trailblazer
8,Sacagawea,Trailblazer
9,Kit Carson,Trailblazer
10,Neil Armstrong,Trailblazer
11,John Wesley Powell ,Trailblazer
12,Martin Luther King Jr.,Rebel & Resister
13,Robert E. Lee,Rebel & Resister
14,Thomas Paine,Rebel & Resister
15,John Brown,Rebel & Resister
16,Frederick Douglass,Rebel & Resister
17,Susan B. Anthony,Rebel & Resister
18,W.E.B. Du Bois,Rebel & Resister
19,Tecumseh,Rebel & Resister
20,Sitting Bull,Rebel & Resister
21,Elizabeth Cady Stanton,Rebel & Resister
22,Malcolm X ,Rebel & Resister
23,Abraham Lincoln,President
24,George Washington,President
25,Thomas Jefferson,President
26,Theodore Roosevelt,President
27,Ulysses S. Grant,President
28,Ronald W. Reagan,President
29,George W. Bush,President
30,Franklin Delano Roosevelt,President
31,Woodrow Wilson,President
32,James Madison,President
33,Andrew Jackson ,President
34,Pocahontas,First Woman
35,Eleanor Roosevelt,First Woman
36,Hillary Clinton,First Woman
37,Sarah Palin,First Woman
38,Martha Washington,First Woman
39,Helen Keller,First Woman
40,Sojourner Truth,First Woman
41,Jane Addams,First Woman
42,Edith Wharton,First Woman
43,Bette Davis,First Woman
44,Oprah Winfrey ,First Woman
45,Benedict Arnold,Outlaw
46,Jesse James,Outlaw
47,John Wilkes Booth,Outlaw
48,Al Capone,Outlaw
49,Billy the Kid,Outlaw
50,William M. Boss Tweed,Outlaw
51,Charles Manson,Outlaw
52,Wild Bill Hickok,Outlaw
53,Lee Harvey Oswald,Outlaw
54,John Dillinger,Outlaw
55,Lucky Luciano ,Outlaw
56,Frank Lloyd Wright,Artist
57,Andy Warhol,Artist
58,Frederick Law Olmsted,Artist
59,James Abbott MacNeill Whistler,Artist
60,Jackson Pollock,Artist
61,John James Audubon,Artist
62,Georgia Okeeffe,Artist
63,Thomas Eakins,Artist
64,Thomas Nast,Artist
65,Alfred Stieglitz,Artist
66,Ansel Adams ,Artist
67,Joseph Smith Jr.,religious figure
68,William Penn,religious figure
69,Brigham Young,religious figure
70,Roger Williams,religious figure
71,Anne Hutchinson,religious figure
72,Jonathan Edwards,religious figure
73,L. Ron Hubbard,religious figure
74,Ellen G. White,religious figure
75,Cotton Mather,religious figure
76,Mary Baker Eddy,religious figure
77,Billy Graham ,religious figure
78,Mark Twain,Pop Icon
79,Elvis Presley,Pop Icon
80,Madonna,Pop Icon
81,Bob Dylan,Pop Icon
82,Michael Jackson,Pop Icon
83,Charlie Chaplin,Pop Icon
84,Jimi Hendrix,Pop Icon
85,Marilyn Monroe,Pop Icon
86,Frank Sinatra,Pop Icon
87,Louis Armstrong,Pop Icon
88,Mary Pickford ,Pop Icon
89,Andrew Carnegie,Empire Builder
90,Henry Ford,Empire Builder
91,John D. Rockefeller,Empire Builder
92,J.P. Morgan,Empire Builder
93,Walt Disney,Empire Builder
94,Thomas Alva Edison,Empire Builder
95,William Randolph Hearst,Empire Builder
96,Howard Hughes,Empire Builder
97,Bill Gates,Empire Builder
98,Cornelius Vanderbilt,Empire Builder
99,Steve Jobs ,Empire Builder
100,Babe Ruth,Athlete
101,Muhammad Ali,Athlete
102,Jackie Robinson,Athlete
103,James Naismith,Athlete
104,Arnold Schwarzenegger,Athlete
105,Ty Cobb,Athlete
106,Michael Jordan,Athlete
107,Hulk Hogan,Athlete
108,Jim Thorpe,Athlete
109,Secretariat,Athlete
110,Billie Jean King ,Athlete
